letter,place,rule_category,description
إ,أقصى الحلق,تحقيق الهمزة,تخرج من منطقة الأوتار الصوتية في أقصى الحلق
ن,الخيشوم,غنة أكمل ما تكون,النون المشددة تتطلب غنة بمقدار حركتين تخرج من الخيشوم
ا,الجوف,مد مشبع 6 حركات,خروج الهواء من تجويف الحلق والفم بمد طويل لورش
ع,وسط الحلق,إظهار العين,اضغط على وسط الحلق (لسان المزمار) لتخرج العين صافية
ح,وسط الحلق,إظهار الحاء,تخرج من وسط الحلق مع جريان كثير للنفس
ث,طرف اللسان,إخراج اللسان,مخرجها من طرف اللسان مع أطراف الثنايا العليا
ل,طرف اللسان,تغليظ اللام,تخرج من أدنى حافة اللسان إلى منتهى طرفه
ب,الشفتان,قلقلة صغرى,إطباق الشفتين بقوة مع اهتزاز المخرج عند السكون
ر,طرف اللسان,ترقيق الراء,تخرج من طرف اللسان قريبا من ظهره

